resumption hervatting
of van
the het
session zitting
i ik
declare verklaar
resumed hervat
european europees
parliament parlement
adjourned onderbroken
on on
friday vrijdag
december december
and en
would zou
like ingesloten
once eenmaal
again wederom
to te
wish drieëntwintig
you u
a een
happy mijlu
new nieuwe
year jongsleden
in in
hope hoop
that waarin
enjoyed milieuportefeuille
pleasant plezierige
festive kerstsfeer
period periode
although hoewel
as zoals
will wil
have hebben
seen pracht
dreaded gevreesde
'millennium millenniumverklaring
bug'failed millenniumbug
materialise wereldvoedselmarkt
still overdrijf
people mensen
number aantal
countries landen
suffered coups
series serie
natural natuurlijke
disasters rampen
truly veranderingsprocessen
were werden
dreadful zeerampen
requested gevraagde
debate debat
this deze
subject onderworpen
course natuurlijk
next volgend
few paar
days dagen
during tijdens
partsession vergaderperiode
meantime tussentijd
should dient
observe paradoxen
minute minuut
silence stilzwijgen
members leden
behalf namens
all alle
victims slachtoffers
concerned betreft
particularly bevrijdend
those diegenen
terrible vreselijke
storms stormen
various diverse
union unie
please alstublieft
rise stijgen
then vervolgens
for voor
house huis
rose steeg
observed behept
madam –mevrouw
president president
point punt
order volgorde
be worden
aware bewust
from vanaf
press pers
television televisie
there er
been geweest
bomb bomaanslag
explosions explosies
killings eerwraak
sri lanka
lanka lanka
one eén
assassinated lijfwachten
very zeer
recently onlangs
was was
mr heer
kumar kumar
ponnambalam kumar
who who
had telde
visited bezocht
just zomaar
months maanden
ago geleden
it tekende
appropriate passende
write afschrijven
letter brief
lankan srilankaanse
expressing mensenrechtenovseodihr
parliament's sexies
regret betreur
at 's
his zijne
other andere
violent gewelddadige
deaths sterfgevallen
urging hasina
her hare
do do
everything alles
she dove
possibly gecompromitteerd
can blikje
seek waarheidsoperatie
peaceful vreedzame
reconciliation verzoening
difficult moeilijke
situation situatie
yes jazeker
evans evans
feel voelen
an justius
initiative initiatief
type bodemtype
suggested verhief
entirely ongerijmdheid
if indien
agrees 'frontloading'
shall drieminutentoespraak
has heeft
your uw
advice psychologe
about over
rule regel
concerning derdepijleraangelegenheden
inadmissibility nietontvankelijkheidsverklaring
my mijn
question vraag
relates toezichtsmechanisme
something iets
come basics
up veren
thursday donderdag
which dat
raise tamil
cunha cunha
report verslag
multiannual meerjarenprogramma
guidance leidraad
programmes programma’s
comes gecorrumpeerd
before voordat
contains bevat
proposal voorstel
paragraph paragraaf
form vorm
quota quotum
penalties straffen
introduced geïntroduceerd
fail verzuimen
meet ontmoeten
their hun
fleet vloot
reduction verlaging
targets streefcijfers
annually toenamen
says eenvoudigs
done verwarmd
despite ondanks
principle beginsel
relative relatieve
stability stabiliteit
believe inziens
is community
fundamental fundamentele
legal juridische
common gemeenschappelijk
fisheries visserij
policy beleid
subvert doorbreken
legally legaal
inadmissible nietontvankelijke
want wilt
know weten
whether medeschepselen
objection bezwaar
kind soort
what waarvoor
merely faciliëren
not niet
legislative wetgevende
competently interfractiegroep
precisely congressional
time tijd
when toen
may kan
ie nonferro
prior voorafgaand
start start
presentation presentatie
coinciding tolerantiemarge
with met
first eerste
date datum
set stel
unfortunately helaas
texas texas
america amerika
execution executie
young jonge
yearold jarige
man man
sentenced veroordeeld
death dood
we wij
call roepen
him hem
hicks texas
request verzoek
french franse
member afgevaardigde
zimeray zimeray
petition verzoekschrift
already reeds
presented gepresenteerd
many vele
signed ondertekend
including inbegrip
myself ikzelf
however echter
ask verzoeken
accordance overeenkomstig
line begrotingslijn
now nu
constantly voortdurend
followed gevolgd
by door
whole hele
community gemeenschap
make uitzonderen
representations protestbrieven
using “zachte
weight gewicht
prestigious prestigieuze
office office
institution instelling
represent vertegenwoordigen
governor gouverneur
bush bush
power macht
stay temperatuurverhoging
reprieve reprieve
condemned veroordeeld
person persoon
principles beginselen
always altijd
upheld opnamelijk
thank dank
segni segni
so zodat
gladly kersverse
indeed inderdaad
quite commando’s
keeping binnenhouden
positions posities
adopted aangenomen
draw vestigen
attention aandacht
case geval
consistently besluitvorming…
shown getoond
interest belangstelling
alexander alexander
nikitin zaakalexander
us amerikaanse
here hiervandaan
are bevinden
pleased blij
courts rechtbanken
acquitted vrijgesproken
made geboekt
clear duidelijke
russia rusland
too ongeletterd
access toegang
environmental milieugebied
information informatie
constitutional constitutionele
right rechts
he hij
go benoemt
more meer
because omdat
public publieke
prosecutor procureurgeneraal
appealing appél
stated verklaard
much nonparlementaire
resolutions resoluties
specifically specifiek
last laatste
plenary plenaire
solely noodactie
wrong verkeerde
accused beschuldigd
criminal strafrechtelijke
activity activiteit
treason verraad
our onze
involvement betrokkenheid
beneficiaries begunstigden
findings bevindingen
these preferente
basis basis
protect beschermen
barents barentszzee
sea zee
why waarom
examine benoemingsvoorstel
draft ontwerp
setting vereenvoudigingsprogramma
out ingeschoten
most meest
