hervatting resumption
van of
het the
zitting session
ik i
verklaar declare
hervat resumed
europees european
parlement parliament
onderbroken adjourned
on on
vrijdag friday
december december
en and
zou would
ingesloten like
eenmaal once
wederom again
te to
drieëntwintig wish
u you
een a
mijlu happy
nieuwe new
jongsleden year
in in
hoop hope
waarin that
milieuportefeuille enjoyed
plezierige pleasant
kerstsfeer festive
periode period
hoewel although
zoals as
wil will
hebben have
pracht seen
gevreesde dreaded
millenniumverklaring 'millennium
millenniumbug bug'failed
wereldvoedselmarkt materialise
overdrijf still
mensen people
aantal number
landen countries
coups suffered
serie series
natuurlijke natural
rampen disasters
veranderingsprocessen truly
werden were
zeerampen dreadful
gevraagde requested
debat debate
deze this
onderworpen subject
natuurlijk course
volgend next
paar few
dagen days
tijdens during
vergaderperiode partsession
tussentijd meantime
dient should
paradoxen observe
minuut minute
stilzwijgen silence
leden members
namens behalf
alle all
slachtoffers victims
betreft concerned
bevrijdend particularly
diegenen those
vreselijke terrible
stormen storms
diverse various
unie union
alstublieft please
stijgen rise
vervolgens then
voor for
huis house
steeg rose
behept observed
–mevrouw madam
president president
punt point
volgorde order
worden be
bewust aware
vanaf from
pers press
televisie television
er there
geweest been
bomaanslag bomb
explosies explosions
eerwraak killings
lanka sri
lanka lanka
eén one
lijfwachten assassinated
zeer very
onlangs recently
was was
heer mr
kumar kumar
kumar ponnambalam
who who
telde had
bezocht visited
zomaar just
maanden months
geleden ago
tekende it
passende appropriate
afschrijven write
brief letter
srilankaanse lankan
mensenrechtenovseodihr expressing
sexies parliament's
betreur regret
's at
zijne his
andere other
gewelddadige violent
sterfgevallen deaths
hasina urging
hare her
do do
alles everything
dove she
gecompromitteerd possibly
blikje can
waarheidsoperatie seek
vreedzame peaceful
verzoening reconciliation
moeilijke difficult
situatie situation
jazeker yes
evans evans
voelen feel
justius an
initiatief initiative
bodemtype type
verhief suggested
ongerijmdheid entirely
indien if
'frontloading' agrees
drieminutentoespraak shall
heeft has
uw your
psychologe advice
over about
regel rule
derdepijleraangelegenheden concerning
nietontvankelijkheidsverklaring inadmissibility
mijn my
vraag question
toezichtsmechanisme relates
iets something
basics come
veren up
donderdag thursday
dat which
tamil raise
cunha cunha
verslag report
meerjarenprogramma multiannual
leidraad guidance
programma’s programmes
gecorrumpeerd comes
voordat before
bevat contains
voorstel proposal
paragraaf paragraph
vorm form
quotum quota
straffen penalties
geïntroduceerd introduced
verzuimen fail
ontmoeten meet
hun their
vloot fleet
verlaging reduction
streefcijfers targets
toenamen annually
eenvoudigs says
verwarmd done
ondanks despite
beginsel principle
relatieve relative
stabiliteit stability
inziens believe
community is
fundamentele fundamental
juridische legal
gemeenschappelijk common
visserij fisheries
beleid policy
doorbreken subvert
legaal legally
nietontvankelijke inadmissible
wilt want
weten know
medeschepselen whether
bezwaar objection
soort kind
waarvoor what
faciliëren merely
niet not
wetgevende legislative
interfractiegroep competently
congressional precisely
tijd time
toen when
kan may
nonferro ie
voorafgaand prior
start start
presentatie presentation
tolerantiemarge coinciding
met with
eerste first
datum date
stel set
helaas unfortunately
texas texas
amerika america
executie execution
jonge young
jarige yearold
man man
veroordeeld sentenced
dood death
wij we
roepen call
hem him
texas hicks
verzoek request
franse french
afgevaardigde member
zimeray zimeray
verzoekschrift petition
reeds already
gepresenteerd presented
vele many
ondertekend signed
inbegrip including
ikzelf myself
echter however
verzoeken ask
overeenkomstig accordance
begrotingslijn line
nu now
voortdurend constantly
gevolgd followed
door by
hele whole
gemeenschap community
uitzonderen make
protestbrieven representations
“zachte using
gewicht weight
prestigieuze prestigious
office office
instelling institution
vertegenwoordigen represent
gouverneur governor
bush bush
macht power
temperatuurverhoging stay
reprieve reprieve
veroordeeld condemned
persoon person
beginselen principles
altijd always
opnamelijk upheld
dank thank
segni segni
zodat so
kersverse gladly
inderdaad indeed
commando’s quite
binnenhouden keeping
posities positions
aangenomen adopted
vestigen draw
aandacht attention
geval case
besluitvorming… consistently
getoond shown
belangstelling interest
alexander alexander
zaakalexander nikitin
amerikaanse us
hiervandaan here
bevinden are
blij pleased
rechtbanken courts
vrijgesproken acquitted
geboekt made
duidelijke clear
rusland russia
ongeletterd too
toegang access
milieugebied environmental
informatie information
constitutionele constitutional
rechts right
hij he
benoemt go
meer more
omdat because
publieke public
procureurgeneraal prosecutor
appél appealing
verklaard stated
nonparlementaire much
resoluties resolutions
specifiek specifically
laatste last
plenaire plenary
noodactie solely
verkeerde wrong
beschuldigd accused
strafrechtelijke criminal
activiteit activity
verraad treason
onze our
betrokkenheid involvement
begunstigden beneficiaries
bevindingen findings
preferente these
basis basis
beschermen protect
barentszzee barents
zee sea
waarom why
benoemingsvoorstel examine
ontwerp draft
vereenvoudigingsprogramma setting
ingeschoten out
meest most
belangrijk important
feiten facts
standpunt position
geuit expressed
verre far
herczog mrs
schroedter schroedter
kijken look
geloosd into
ontvangen received
evaluatieonderzoek firstly
hoogachting compliment
feit fact
cohesiedoelstellingen kept
verkeerds word
kanalen channels
kantoren offices
verhoogde increased
maximumprijzen considerably
maar but
persoonlijke personal
ontmoet met
twee two
finse finnish
portugese portuguese
nr no
nederlandse dutch
kanaal channel
gbvbbegroting able
volgen follow
nieuws news
gestuurd sent
plaatsvinden place
ballingschap exile
iedere every
maand month
daarom therefore
waarborgen ensure
dump get
moldaviëresolutie well
plooijvan plooijvan
plooijvan gorsel
vertellen tell
rechtsaangelegenheid matter
agenda agenda
plooijvan quaestors'meeting
woensdag wednesday
bestudeerd examined
positieve positive
licht light
meemaak me
bedot does
medeleden adhere
gezondheid health
voedselveiligheid safety
wetgeving legislation
marktgeoriënteerde actually
pasjes passes
luchtkwaliteit air
kwaliteit quality
test test
bijzonder particular
gebouw building
sinds since
gekozen elected
comité committee
bijeenkomst meeting
brand fire
tunnels drill
ofwel either
brussel brussels
gebouwen buildings
of or
straatsburg strasbourg
instructies instructions
trappen staircases
verbeterde improved
ongeluk accident
antirookcampagne nosmoking
gebieden areas
eigenaarsrechten enforced
lijkt seems
absoluut absolutely
schandelijke disgraceful
biriatoupas pass
onszelf ourselves
lynne lynne
nakijken check
eveneens also
verwijs refer
college college
quaestoren quaestors
ben am
bepaalde certain
geterroriseerd they
gebrand keen
wedstrijddeelnemers comply
verordeningen regulations
stemming vote
díez díez
gonzález gonzález
ingediend tabled
vragen questions
adviezen opinions
vicevoorzitter vicepresident
rossa de
palacio palacio
verspreidingskanalen appeared
spaanse spanish
krant newspaper
bevoegde competent
diensten services
energiebeveiliging included
toe them
gronden grounds
be answered
voorgaande previous
heroverwegen reconsider
initiator previously
verwees referred
interventie intervention
ander another
dook occasion
opmerkingen comments
abc abc
november november
berenguer berenguer
fuster fuster
inneem admit
presenteren present
leerzaam somewhat
verward confused
oostzeeaspect properly
boodschap message
olivier going
week week
verongelijkt discontent
ruziën over
coupure today's
besluit decision
geroyeerd refusing
vernieuwen renew
wapenembargo arms
embargo embargo
indonesië indonesia
overweegt considering
overgrote vast
meerderheid majority
